split,method,type,race,gender,percentage
train,real,RealVideo-RealAudio,African,men,0.23220327738340077
train,real,RealVideo-RealAudio,African,women,0.23220327738340077
train,real,RealVideo-RealAudio,Caucasian (American),men,0.2587407947986466
train,real,RealVideo-RealAudio,Caucasian (American),women,0.23883765673721222
train,real,RealVideo-RealAudio,Asian (East),men,0.22556889802958932
train,real,RealVideo-RealAudio,Asian (East),women,0.205665759968155
train,real,RealVideo-RealAudio,Caucasian (European),men,0.2123001393219664
train,real,RealVideo-RealAudio,Caucasian (European),women,0.2720095535062695
train,real,RealVideo-RealAudio,Asian (South),men,0.21893451867577787
train,real,RealVideo-RealAudio,Asian (South),women,0.22556889802958932
train,rtvc,RealVideo-FakeAudio,African,men,0.23220327738340077
train,rtvc,RealVideo-FakeAudio,African,women,0.23220327738340077
train,rtvc,RealVideo-FakeAudio,Caucasian (American),men,0.2587407947986466
train,rtvc,RealVideo-FakeAudio,Caucasian (American),women,0.23883765673721222
train,rtvc,RealVideo-FakeAudio,Asian (East),men,0.22556889802958932
train,rtvc,RealVideo-FakeAudio,Asian (East),women,0.205665759968155
train,rtvc,RealVideo-FakeAudio,Caucasian (European),men,0.2123001393219664
train,rtvc,RealVideo-FakeAudio,Caucasian (European),women,0.2720095535062695
train,rtvc,RealVideo-FakeAudio,Asian (South),men,0.21893451867577787
train,rtvc,RealVideo-FakeAudio,Asian (South),women,0.22556889802958932
train,faceswap,FakeVideo-RealAudio,African,men,0.41796589929012135
train,faceswap,FakeVideo-RealAudio,African,women,0.25210641544483514
train,faceswap,FakeVideo-RealAudio,Caucasian (American),men,0.43786903735155575
train,faceswap,FakeVideo-RealAudio,Caucasian (American),women,0.3317189676905725
train,faceswap,FakeVideo-RealAudio,Asian (East),men,0.3516221057520069
train,faceswap,FakeVideo-RealAudio,Asian (East),women,0.14595634578385192
train,faceswap,FakeVideo-RealAudio,Caucasian (European),men,0.37152524381344126
train,faceswap,FakeVideo-RealAudio,Caucasian (European),women,0.32508458833676107
train,faceswap,FakeVideo-RealAudio,Asian (South),men,0.37152524381344126
train,faceswap,FakeVideo-RealAudio,Asian (South),women,0.37152524381344126
train,faceswap-wav2lip,FakeVideo-FakeAudio,African,men,1.2870695946394215
train,faceswap-wav2lip,FakeVideo-FakeAudio,African,women,1.015060041133152
train,faceswap-wav2lip,FakeVideo-FakeAudio,Caucasian (American),men,1.64532607974524
train,faceswap-wav2lip,FakeVideo-FakeAudio,Caucasian (American),women,1.2538976978703642
train,faceswap-wav2lip,FakeVideo-FakeAudio,Asian (East),men,1.3335102501161016
train,faceswap-wav2lip,FakeVideo-FakeAudio,Asian (East),women,0.7629536256883168
train,faceswap-wav2lip,FakeVideo-FakeAudio,Caucasian (European),men,1.4661978371923308
train,faceswap-wav2lip,FakeVideo-FakeAudio,Caucasian (European),women,1.1742851456246268
